,base_estimator__criterion,base_estimator__max_depth,base_estimator__max_features,learning_rate,loss,n_estimators,random_state,0
266,friedman_mse,8,sqrt,0.0002,square,1000,88,-13.44523671800387
267,friedman_mse,8,sqrt,0.0002,square,1500,88,-13.445339770427996
268,friedman_mse,8,sqrt,0.0002,square,2000,88,-13.44434422511016
269,friedman_mse,8,sqrt,0.0002,square,2500,88,-13.444404309592844
270,friedman_mse,9,sqrt,5e-05,square,500,88,-13.445269778083892
271,friedman_mse,9,sqrt,5e-05,square,1000,88,-13.438294491794704
272,friedman_mse,9,sqrt,5e-05,square,1500,88,-13.438877167928103
273,friedman_mse,9,sqrt,5e-05,square,2000,88,-13.440623236819155
274,friedman_mse,9,sqrt,5e-05,square,2500,88,-13.44201840576514
275,friedman_mse,9,sqrt,0.0001,square,500,88,-13.445904018466186
276,friedman_mse,9,sqrt,0.0001,square,1000,88,-13.445561726740753
277,friedman_mse,9,sqrt,0.0001,square,1500,88,-13.443564350269952
278,friedman_mse,9,sqrt,0.0001,square,2000,88,-13.443936737732827
279,friedman_mse,9,sqrt,0.0001,square,2500,88,-13.443315848076134
280,friedman_mse,9,sqrt,0.0002,square,500,88,-13.445868152746868
281,friedman_mse,9,sqrt,0.0002,square,1000,88,-13.444874214711808
282,friedman_mse,9,sqrt,0.0002,square,1500,88,-13.449934393442524
283,friedman_mse,9,sqrt,0.0002,square,2000,88,-13.448280444905738
284,friedman_mse,9,sqrt,0.0002,square,2500,88,-13.44743388261465
285,friedman_mse,10,sqrt,5e-05,square,500,88,-13.443201045350929
286,friedman_mse,10,sqrt,5e-05,square,1000,88,-13.441782229314915
287,friedman_mse,10,sqrt,5e-05,square,1500,88,-13.442200303021304
288,friedman_mse,10,sqrt,5e-05,square,2000,88,-13.444480763676305
289,friedman_mse,10,sqrt,5e-05,square,2500,88,-13.441060903247504
290,friedman_mse,10,sqrt,0.0001,square,500,88,-13.444759783788095
291,friedman_mse,10,sqrt,0.0001,square,1000,88,-13.439282492284239
292,friedman_mse,10,sqrt,0.0001,square,1500,88,-13.43694037306598
293,friedman_mse,10,sqrt,0.0001,square,2000,88,-13.435750982197174
